date,time,ip_address,source_url,current_url,latitude,longitude
6/10/17,1:02 PM,192.52.191.115,http://www.americannaziparty.com/news/index.php,http://www.americannaziparty.com/about/index.php,40.7224453,-73.97865057
6/17/17,1:30 AM,116.231.114.29,https://www.stormfront.org/forum/t538924/,https://www.stormfront.org/forum/,40.7137,-74.0079
6/20/17,12:06 PM,180.80.170.106,https://notalwaysright.com/related/,http://www.rd.com/jokes/one-liners/,40.75922049,-73.98462117
6/18/17,6:51 AM,66.45.191.64,https://www.thereligionofpeace.com/pages/quran/wife-beating.aspx,https://islamqa.info/en/41199,40.7661,-73.9696
6/15/17,3:46 AM,141.218.125.108,http://www.cookingclassy.com/skillet-garlic-parmesan-zucchini-squash-tomatoes/,https://www.stormfront.org/forum/t538924/,40.71179263,-74.01232839
6/11/17,6:33 AM,64.208.253.212,https://notalwaysright.com/page/3/,https://notalwaysright.com/related/,40.77506559,-73.94312739
6/12/17,10:56 PM,182.32.209.110,https://www.msn.com/en-us/news/world/uk-prime-ministers-top-aides-resign-after-election-fiasco/ar-BBCocMH,http://thehaha.club/jokes/wish-you-were-here,40.74607025,-73.95038009
6/16/17,11:01 AM,35.192.65.194,http://americanspcc.org/child-sexual-abuse/?gclid=CjwKEAjwse7JBRCJ576SqoD7lCkSJABF-bKuv6mIVLY13ijeZwh_HHeEjR5IGqbX_XgY_5HNLTFjShoCMhjw_wcB,http://www.dailymail.co.uk/femail/article-2239789/One-women-tells-heartbreaking-story-abuse-hands-fathers-friends.html,40.68958731,-74.04379606
6/12/17,12:27 AM,62.164.228.91,http://www.patheos.com/blogs/dispatches/2017/06/09/kkk-defender-named-georgia-education-board/,http://www.americannaziparty.com/news/index.php,40.69899091,-74.03849602
6/11/17,8:16 AM,256.82.178.2,https://notalwaysright.com/page/3/,http://www.cookingclassy.com/skillet-garlic-parmesan-zucchini-squash-tomatoes/,40.7213,-74.0015
6/10/17,7:48 AM,141.178.203.94,https://www.msn.com/en-us/news/us/anti-sharia-demonstrators-hold-rallies-in-cities-across-the-country/ar-BBCqGcs,https://www.msn.com/en-us/news/us/year-after-pulse-massacre-blessings-and-frustrations-abound/ar-BBCrBkQ,40.7866,-73.9547
